English Phrase,Meanings,Acts,Hindi Translation
goods,,,वस्तुओं/माल की उठाई-धराई
handling of statistical data,,,की/आंकडों संबंधी कार्य
handloom,,"s. 2(d), Khadi and Village Industries Commission Act",हथकरघा
handloom cloth,,"s. 2(c), Khadi and Other Handloom Industries Development (Additional Excise Duty on Cloth) Act",हथकरघा कपडा ़
handloom industry,,"s. 2(d), Khadi and Other Handloom Industries Development (Additional Excise Duty on Cloth) Act",हथकरघा उद्योग
Handloom inspector,,,हथकरघा नि रीक्षक
handrails,,"s. 32(a), Factories Act","रैलिंग ; (5. 73(2), Indian Railways Act] डंडहरे"
handwriting,the cast or form of writing peculiar to each hand or person; something written by hand,"s. 67, Indian Evidence Act",हस् तलेख
handwriting expert,,,हस्तलेख वि शेषज्ञ
hanks,circular loops or coils especially of yarn,,अटूटि यां
haphazard development,,"Introduction, 1st para, National Capital Region Planning Board Act","वंप्रलांग, Ist para, National Capital Region Planning Board Act] अव्यवस्थित विकास"
happen,to occur,"s. 92, ill. (j), Indian Evidence Act",घटि a होना ; होना
"happen, which must",,"s. 19, T.P. Act",जो अवश् यंभावी है ; िज सका होना अवश् यंभावी है
happening of a specified event,,"s. 46(2)(e), Gift-tax Act",वि fa fese घटना का घटि त होना
happening of a specified uncertain event,,"s. 21, T.P. Act",वि नि दर्दिष्ट अनि ofa तघटना का घटि a होना
happening of an event,,"s. 19, T.P. Act",हैबियस कार्पस
happening of cause,,"s. 377(6), Companies Act",हैतुक का घटि a होना
harassment,,"s. 498(a), I.P.C.",तंग करना ; उत् पीड़न ; संतापन
harbour,"1. a place of shelter for ships, specially where they may lie sheltered by the shore or by works extended from it","s. 32, ill. (d), Indian Evidence Act",बंदरगाह ; 2.
harbour a person,,"s. 3(1)(v), Conservation of Foreign Exchange and Prevention of Smuggling Activities Act",व्यक्ति 20 कोसंश्रयदेना._.[.[ _[209372९
harbour and river ferries,,"s. 115VD(v), Income-tax Act",बंदरगाह और नदी नोघाट
harbour craft,,"s. 2, Coasting Vessels Act",बंदरगाह-यान
harbour dues,,,बंदरगाह देय
harbour master,,"s. 3(33), General Clauses Act",बंदरगाह मास् टर
hard and fast rules,,,पक्के नि यम
hard cash,,,नकदी
hard coke,,"s. 2(b), Coking Coal Mines (Emergency Provisions) Act",हाडर्कोक
hard currency area,,,दुर्लभ मुद्रा-क्षेत्र
hard labour,hard bodily labour (imposed upon certain class of criminals during their terms of imprisonment),"s. 53, (fourthly), I.P.C.",कठोर श्रम
hard manual labour,,"s. 71A(d), Indian Railways Act",हैबियस कार्पस
hardly,,,मुश्कि
hardness test,,,कठोरता परीक्षण
hardship,suffering; privation,"s. 20(12)(b), Specific Relief Act",कष्ट ; कठि नाई
hardware,,"s. 2(ze), Information Technology Act",हाडर्वेयर
hardware units,,,धातु-वस् तु एकक
harm,1. evil (physical or otherwise) as done or suffered,"s. 81, I.P.C.",अपहानि
harm reputation,,,ख्याति की अपहानि करना
harmful,that which causes harm; damaging,,अपहानि कर; हानि प्रद
harmful publication,a publication that hurts the reputation of some other person,"title, Young Persons (Harmful Publications) Act",अपहानि कर प्रकाशन
handling 190 haulage road harmful to business,,"s. 217(2), Companies Act",हैबियस कार्पस
harmonious development,,"long title, Bureaus of Indian Standards Act",सामंजस्यपूर्ण विकास
harmonious interpretation,,,सामंजस्यपूर्ण निर्वचन
harmonized construction of the provisions of the Act,,,हैबियस कार्पस
harmonized policy,,"long title, National Capital Region Planning Board Act",सामंजस्यपूर्ण नीति
harness,,"s. 6(d), Hackney Carriage Act",साज-सज् जा
harvest,,"s. 61, C.P.C.",फसल
has bearing on the interpretation,,,निर्वचन पर प्रभाव पड़ता है ; निर्वचन से संबंधित है
has become liable to forfeiture,,"s. 128(2)(f)(ii), C.P.C.",समपहरणीय हो गई है
has reason to believe,,,वि श्वास करने का कारण है; वि श्वास करने का कारण रखता है
has taken or is about to take steps,,"s. 18(1), Arbitration Act",हैबियस कार्पस
hash,,"s. 3(2), Information Technology Act",द्रतुान् वेषण
hash function,,"s. 3(2), expln., Information Technology Act",द्रतुान् वेषण फलन
hatch,"the covering of a hatchway, a small gate","sch., pt. II, item I(iii), Commercial Documents Evidence Act",डकेद्वार
hatch covering,an arrangement for covering and protecting hatchway or other deck covering,"s. 5(1)(g), Indian Dock Labourers Act",हैच छादन
haulage charges,,"s. 2(a)(i), Railway Passenger Fares Act",कषर्ण प्रभार
haulage road,a passage in a coal mine along which coal is transported,"s. 57(q), Mines Act",कषर्ण मागर्
"have effect accordingly, shall",,"s. 9(1), Metal Corporation of India (Acquisition of Undertaking) Act",का तदनुरूप प्रभाव होगा
"have the same force and be subject to the same conditions, shall",,"Or. 21, r. 50(3), C.P.C.",हैबियस कार्पस
Havildar and Dafadar,,"s. 5(1), Assam Rifles Act",हवलदार और दफादार
Havildar Compounder,,"sch., item 2, Assam Rifles Act",हवलदार कंपाउंडर
Havildar Major,,"s. 5(1), Assam Rifles Act",हवलदार मेजर
"having admiralty jurisdiction, court",,"s. 3, Colonial Courts of Admiralty (India) Act",हैबियस कार्पस
having authority to arrest,,,गि रफ्तार करने के लि ए प्राधि कृत ; गि रफ्तार करने के प्राधि कार वाला
having background of,,,का ज्ञान हो; की जानकारी हो
having bearing upon,,"s. 19(3), Navy Act",संबद्ध; से संबंधि त
having been enjoined by public servant,,"s. 291, I.P.C.",लोक सेवक द्वारा व्यादि se fee ए जाने पर
having been reserved for the consideration of the President,,"art. 31C, prov., Const.",हैबियस कार्पस
having regard to all the circumstances,,"s. 3, Obstructions in Fairways Act",सभी oR स्थि ति यों को ध्यान में रखते हुए
having regard to the age of the recipient,,"s. 10(10A)(ii)(b), Income-tax Act",८0 प्राप्तकर्ता की आयु को ध्यान में रखकर
having regard to the ordinary course of trade,,"s. 18(2)(b), Foreign Exchange Regulation Act",के मामूली अनुक्रम को ध्यान में रखते हुए
having taken note of,,,को ध्यान/दर्णटे में रखकर
having the custody of records,,,अभि लेखों को अभि रक्षा में रखने वाला
having the effect,,"s. 12, Industrial Employment (Standing Orders) Act",प्रभाव रखने वाला; प्रभाव वाला
having the force of law,,"s. 100(1)(a), C.P.C.",हैबियस कार्पस
hawk,,"s. 120 A(1), Indian Railways Act",फेरी लगाना ; HN लगाकर बेचना
hawking articles for sale,,"sch., item 12, Fort William Act",हैबियस कार्पस
"hazard to the community, without",,"s. 123(1), Cr. P.C.",हैबियस कार्पस
hazardous employment,,"art. 24, Const.",संकटमय 9[ नि योजन
hazardous goods,,"s. 31(3), Customs Act",संकटमय माल
hazardous to the community,,"s. 110(g), Cr. P.C.",समाज के लि ए परि संकटमय
head,1. a man division of a writing; a topic,"s. 2(b), Cr. P.C.",शीषर्; 2.
Head Assistant,,,प्रधान सहायक
Head Barman,,,प्रधान बारमैन
Head Block Instrument Mistry,,,प्रधान ब्लाक उपकरण मिस्त्री
Head Bromide Printer,,,प्रधान ब्रोमाइड मुद्रक
Head cash counter,,,प्रधान रोकड़ गणक
Head cash witness,,,प्रधान रोकड़ साक्षी
Head clerk,,,प्रधानलि पि क
Head Constable,,"s. 4(2), Prevention of Seditious Meetings Act",हैड कांस् टेबल
head crane inspector,,,प्रधान क्रेन नि रीक्षक
head design assistant,,,प्रधान डि जाइन सहायक
head despatcher,,,प्रधान पे्रषक
head draftsman,,,प्रधान प्रारूपकार
hauling 191 head of state head estimator,,,प्रधान प्राक् कलक
Head Ferro Printer,,,प्रधान फेरो मुद्रक
Head Finger Print Examiner,,,प्रधान अंगुलीछाप परीक्षक
Head Fitter,,,प्रधान फि टर
headgear,,,सि र का पहनावा
"head, group minor",,,गु्रप लघु शीषर्
head gunner,,,प्रधान गनर
Head light Inspector,,,अग्रदीप नि रीक्षक
Head light repairer,,,अग्रदीप मरम्मतकर्ता
Head Lineman,,,प्रधान लाइनमैन
Head luggage clerk,,,प्रधान सामान लि पि क
Head Machine Operator,,,प्रधान मशीन प्रचालक
"head, major",,,मुख् य शीषर्
Head Master,,,प्रधान अध् यापक
Head Mate,,,प्रधान मेट
"head, minor",,,लघु शीषर्
Head Mistress,,,प्रधान अध्यापि का
head money,"money paid for killing or capturing a person (as an outlaw), bounty","s, 49 (2), Navy Act",मथौत
head note,concise statement of the legal principles contained in a law report at the beginning,,शीर्ष टि प्पण; हैड नोट
head of account,,,लेखा शीषर्
"head of cattle, every",,"s. 12, Cattle-trepass Act",प्रत् येक पश ु
head of department,1.,"s. 2(h)(ii), Additional Emoluments (Compulsory Deposit) Act","वि. भाग का प्रधान; 2. [sch., item 8, Aligarh Muslim University Act] वि. भागाध्यक्ष"
head of department of studies,,"sch., item 18(1)(iv), Aligarh Muslim University Act",अध्ययन वि. भाग का अध्यक्ष
head of diplomatic mission,,,राजनयि क TA शन प्रमुख; राजनयि कमि शन का प्रधान
"head of the department, officer at the",one having the chief command of the department,"s. 123, Indian Evidence Act",हैबियस कार्पस
head of government,,,शासनाध्यक्ष
head of income,,"s. 14, Incomes-tax Act",आय का शीषर्
head of mission,,"s. 8, Diplomatic Relations (Vienna Convention) Act","मिशन का प्रधान; मि शन का प्रमुख head of office ; (5. 4, Public Accountants Default Act] कार्यालय का प्रधान"
head of office,,"s. 4, Public Accountants Default Act",कायार्लय का प्रधान
head of revenue,,,राजस् व शीषर्
head of school,,"s. 2(k), Delhi School Education Act",वि दयालय का प्रधान
head of state,,"s. 87A(2)(b), C.P.C.",राज्याधि पति
head of university,,"s.11(2), North-Eastern Hill University Act",वि श्ववि दयात्रय का प्रधान
head of village,,,गांव का मुखि या; गांव का प्रधान; ग्राम का ग्रामणी
head office,,"s. 5(2), Trade and Merchandise Marks Act",मुख् य कायार्लय ; प्रधान कायार्लय
head office expenditure,,"s. 44(c), Income-tax Act",मुख् यालय व् यय
head office of the company,,"s. 8, Companies Act",कंपनी का प्रधान कायार्लय ; कंपनी का मुख् य कायार्लय
head parcel clerk,,,प्रधान पार्सललि पि क
Head Passenger Attendant,,,प्रधान यात्री परि चर
Head Pilot,,,प्रधान पाइलट
Head Planner and Estimator,,,प्रधान योजनाकार और प्राक् कलक
"head, principal",,,प्रधान शीषर्
Head Procurement Clerk,,,प्रधान उपापन लि पि क
Head Punch Operator,,,प्रधान पंच प्रचालक
Head Reader,,,प्रधान वाचक
Head Shroff,,,प्रधान सरार्फ
Head Signal Fitter,,,प्रधान सि गनलफि टर
Head Signaller,,,प्रधान सि गनलर
Head Stereo Typer,,,प्रधान FAR यो टाइपकर्ता
Head Storekeeper,,,प्रधान भंडारी
head-sub,,,उपशीषर्
"head, sub-major",,,उप मुख् य शीषर्
"head, technical section",,,हैबियस कार्पस
head telephone operator,,,प्रधान टेलीफोन आपरेटर
head ticket collector,,,प्रधान टि कट कलक्टर
Head Time Keeper,,,प्रधान टाइम कीपर
Head Track Recorder,,,प्रधान पथ-अभि लेखक
Head Train Clerk,,,प्रधान गाड़ी बाबू
Head Train Examiner,,,प्रधान गाड़ी परीक्षक
Head Transhipment Clerk,,,प्रधान स्थानांतरण लि पि क
Head Transit Clerk,,,प्रधान अभि aget fer पिक
Head Translator,,,प्रधान अनुवादक
head verifier operator,,,प्रधान सत् यापक प्रचालक
Head Weighing Clerk,,,प्रधान तुलाई लिपिक
head works,a structure for controlling the quantity of water,"s. 79(i)(c), Punjab Reorganisation Act",जलशीषर् तंत्र
heading,"1. words placed at the head of a chapter, paragraph etc.","s. 5(b), Punjab Legislative Council (Abolition) Act",शीषर्क; 2.
headman,,"s. 32(8), ill.(i), Indian Evidence Act",ग्रामणी ;
Headquarter Paymaster,,,मुख् यालय वेतनपाल
headquarters,,"s. 3(2), University of Hyderabad Act",मुख् यालय
headrace,,"s. 21(1)(ii), Factories Act",आवाही कुल्या
health,soundness of the body,"s. 144(1), Cr. P.C. and art. 25(1), Const.",स् वास् थ् य ; आरोग् य
health and hygiene,,"s. 16(1)(e), Orphanages and Other Charitable Homes (Supervision and Control) Act","०, Orphanages and Other Charitable Homes (Supervision and Control) 4८0 स्वास्थ्य और स्वस्थवृत्त"
health and strength of workers,,"art. 39(d), Const.",का स्वास्थ्य और शक्ति
health and well being,,"s. 16(2)(a), Emigration Act",स् वास् थ् य और भलाई ; स् वास् थ् य और कल् याण
"health centre, primary",,,हैबियस कार्पस
"Health Department, Public",,,हैबियस कार्पस
"Health, Ministry of",,,स् वास् थ् य मतं्रालय
Health Officer,,,स्वास्थ्य अधि कारी
health resort,,,आरोग् य धाम
"Health Service Scheme, Contributory",,,हैबियस कार्पस
health visitor,,,स्वास्थ्य परि दर्शक/वि जि
healthy use,,"app. A., No. 24(4), C.P.C.",अच् छा उपयोग
hear any reference,,"art. 145(3), Const.",कि सी नि देश की सुनवाई करना
hear appeals,,"art. 145(1)(b), Const.",अपीलें सुनना
"heard, be",,"s. 38(2), Arbitration Act",सुना जाए
"heard, desires to be",,,हैबियस कार्पस
"heard in person, to be",,,स् वयं सुना जाए
hearing,"1. listening to pleadings, evidence and arguments especially in a court of law; the trial of a cause","s. 69A(10), T.P. Act and Or. 17, r. 2, C.P.C.",सुनवाई; 2.
hearing distance,,"s. 177(f), Army Act",श्रवणगोचर दूरी
"hearing, motion",a suggestion or proposal formally made to a deliberative assembly for an opportunity to be heard,,हैबियस कार्पस
hearing of appeal,,"s. 11(3), Suits Valuation Act",अपील की सुनवाई
hearing of case,,"s. 5, ill. (b), Indian Evidence Act",मामले की सुनवाई
hearing of suit,,"s. 19(iii), Court-fees Act",वाद की सुनवाई
"hearing, personal",hearing in person,,हैबियस कार्पस
hearsay,that of which one has heard from another without himself having any direct knowledge thereof,,अनुश्रुति
hearsay evidence,evidence consisting of what the witness has heard others say of what is commonly said,,अनुश्रुत साक्ष्य
hearsay matters,,"Or. 19, r. 3(2), C.P.C.",अनुश्रुत बातें
hearse van,,,शव वाहन
heat of passion,,"s. 300, excep. (4), I.P.C.",आवेश की तीव्रता
heated substance,,"s. 326, I.P.C.",तप् त पदाथर्
heavy calls,,"s. 122, Indian Succession Act",भारी मांग
heavy engineering division,,,भारी इंजीनि यरी प्रभाग
heavy equipment,,,भारी उपस्कर
heavy industry,,,भारी उद्योग
heavy machinery operator,,,भारी मशीनरी आपरेटर
heavy package,,"s. 2(a), Marking of Heavy Packages Act",भारी पैकेज
heavy structural,,"preamble, Alcock Ashdown Company Limited (Acquisition of Undertakings) Act",भारी संरचना
heavy water,"water containing more than the usual proportion of heavy oxygen, heavy hydrogen or both especially water which is rich in deuterium",,भारी जल; भारी पानी
hectare,a measurement equal to one hundred acres (about 2.471 acres),"s. 1(4)(a), Plantations Labour Act",हैक् टर
hedge,,"plaint 24, para, 2, C.P.C.",झाडी ़
hedging transaction,,"s. 10(15)(iv), expln. 2, Income-tax Act",हानि से बचने के उपाय संबंधी संव्यवहार
heifer,,"s. 71, Indian Forest Act",बछड़ी
heinous offence,crime which is wicked in a high degree,"long title, Forfeiture Act",जघन् य अपराध
heir,a person who inherits or may by law inherit,"s. 38, ill., T.P. Act",वारि स
heir apparent,"a person whose right of inheritance is indefeasible, provided he outlives the ancestor","s. 6(a), T.P. Act",८0 प्रत्यक्ष वारि स
heir-at law,a legal heir; an heir in whom intestate’s real property as distinguished from his personal estate is vested by operation of law and not by will,"s. 53(2), Estate Duty Act",स; वि धि नावारि स
heir in possession,,,सकब्जा
heirloom,,"s. 5(1)(xiii), Wealth-tax Act",कुलागत वस् तुएं
"heir, presumptive","an heir, whose right to an inheritance may be defeated by birth of a nearer relative",,हैबियस कार्पस
held,"1. had the ownership or use of, as one’s own",,धारित ; धृत्त ; 2. in reference to the decision of a court decided अभि
held good,,"s. 215(2), prov., Indian Succession Act",मान् य
held meeting,,,सभा/अधि वेशन आयोजन करना
"held, shall not be",,"s. 6(3), Interest Act",हैबियस कार्पस
Heliminthiasist,,,कृमि रोग वि ज्ञानी
heavy structural 193 heliport,,"s. 2(e), International Airports Authority Act",हैबियस कार्पस
helper,1. one who helps,,मददगार; 2.
hemorrhage,a discharge of blood,,रक् तस्राव ; खून का बहना
hemp,,,हैम् प; मांग
Her Majesty’s Government,,"s. 78(3), Indian Evidence Act",हर मजेस्टी की सरकार
heraldic,,"s. 12(d), Geneva Conventions Act",दौत् य
herbage,herbs collectively,"plaint 24, para 3, C.P.C",हरि याली; घासपात
herd registration,,,यूथ रजि स्ट्री
hereafter,,,एतद्पश् चात;् इसके पश् चात ्
hereby,by this act or document,"s. 2(a), T.P. Act",एतद्द्वारा; इसके द्वारा
hereditary,descended or capable of descending from an ancestor to a descendent,"s. 2(6), Registration Act",आनुवंशि क
hereditary allowance,,"s. 2(6), Registration Act",आनुवंशि क भत्ता
hereditary office,,"s. 16(3), Limitation Act",आनुवंशि क पद
herein contained,contained in this document,,इसमें अंतर्विष्ट; इसमें दी गई
herein provided,,,इसमें उपबंधि त
hereinabove described,,,जि सका इसमें ऊपर उल्लेख कि या गया है; इसमें ऊपर उल्लि
hereinafter,subsequent to the clause or convenant in which the word is used and in the same statute or document,,ता convenant in which the word is used and in the same statute or document इसमें इसके पश्चात्
hereinafter following,,,इसमें इसके पश्चात्‌ आने वाला
hereinafter provided,provided after this in this document,,इसमें इसके पश्चात्‌ उपबंधि त
hereinbefore,"before, in this document",,इसमें इसके पूर्व; इसमें इसके पहले
hereto annexed,joined or appended to this; forming appurtenance of this,,इससे उपाबद्ध
heretofore,before this time,,इससे पूवर्
hereunder,,,इसके अधीन; इसके नीचे
heritability,,"ch. 2, hdg., Delhi Apartment Ownership Act",दाययोग् यता
heritable,,"s. 9(1), Mental Health Act","विरासतीय; [long title, Delhi Apartment Ownership Act] दाययोग्य"
heritage,,"art. 51A(f), Const.",परंपरा
"heritage of India, cultural",,"s. 14(2)(iii), Antiquities and Art Treasures Act",हैबियस कार्पस
"heritage, servient",,"s. 4, expln., Indian Easements Act",हैबियस कार्पस
hidden subsidy,,,अप्रकट आर्थिक सहायता
hide,,"sch., item 5, Khadi and Village Industries Commission Act",चमर्; चमड़ा;
Hide Development Officer,,,चर्म वि कास अधि कारी
Hide Flaying Scheme,,,चमड़ा उतराई योजना
hides and skins,,"s. 14(iii), Central Sales Tax Act",चमर् और खाल
hierarchy,"a body of persons or things, ranked in grades, order or classes, one above another","art. 323B(3)(a), Const",अधि क्रम
high academic standing,1.,"s. 23(2)(a), North-Eastern Hill University Act","ऊंची शैक्षणि क प्रति vot; 2. [s. 74(2/(०), Jawaharlal Nehru University Act] वि ull के क्षेत्र में उच्च स्थान"
High Commission,,"s. 10(6)(ii), Income-tax Act",उच् च आयोग
High Commissioner,"a representative of the government of one British Commenwealth country in the capital of another, with representational functions broadly similar to those of an ambassador","s. 86(4)(b), C.P.C.",उच् चायुक् त
High Commissioner of a Comonwealth Country,,"s. 86(4)(b), C.P.C.",कामनवेल् थ देश का उच् चायुक् त
high contracting party,,"s. 4(3), Indian Carriage by Air Act",उच्च संवि दाकारी पक्षकार
high contracting party to the convention,,"s. 7(1), Indian Carriage by Air Act",कन्वेंशन का उच्च संवि दाकरी पक्षकार
high court,the high court of justice,"s. 3(25), General Clauses Act and art. 112(3)(d)(iii), Const.",उच् च न् यायालय
high court of judicature,,"s. 15, Waste Lands (Claims) Act",उच् च न् यायालय
high courts for States,,"art. 214, margin, Const.",राज्यों के लि ए उच्च न्यायात्रय
high courts for Union territories,,"art. 241, margin, Const.",संघ राज्यक्षेत्रों के लि ए उच्च न्यायालय
high courts to be courts of record,,"art. 215, margin, Const.",उच्च न्यायात्रयों का अभि लेख न्यायालय होना
high prerogative writs,,,उच्च परमाधि काररि ट
high pressure boiler operator,,,उच् च दाब बायलर प्रचालक
high proficiency or degree of honour test,,,वि शेष योग्यता या प्रवीणता उपाधि का परीक्षण
high rate of interest,,"s. 16, ill. (d), Indian Contract Act",ब्याज की ऊंची दर
high road,,"s. 403, ill. (a), I.P.C.",राज मागर्
High Commissioner of a Comonwealth Country 194 high seas,the sea or ocean lying outside the territorial waters or maritime belts of a country,"s. 23, Extradition Act",खुला समुद्र
high standards of public taste,,"s. 12(2)(c), Press Councils Act",लोक रुचि के उच्च स्तर
high water mark,,,उच्च ज्वार चि
highway,a public road open to all passengers; the ordinary or main route by land or water,"s. 392, I.P.C.",राजमागर्
highway division,,,राजमागर् प्रभाग
"highway, public",,"sch. 1, app. A, plaint 26, C.P.C.",लोक राजमागर्
higher authority,,,उच्चतर प्राधि कारी
higher court,,"s. 31(2), Cr. P.C.",उच् चतर न् यायालय
higher dignitaries,,,उच्चतर पदस्थ; उच्चतर प्रति ष्ठि a व्यक्ति
higher learning,,"s. 2(c), Jawaharlal Nehru University Act",उच्चतर वि
higher powers,,,उच्चतर शक्ति यां
higher relative rank,,"s. 3(24), Navy Act",आपेक्षि क उच्चतर रैंक
highest bid,,"sch. 1, app. E, No. 29(3), C.P.C.","४, 7, app. E, No. 29(3), C.P.C.] सबसे ऊंची बोली"
highest bidder,,"sch. 1, app. E, No.29(3), C.P.C.",सबसे ऊंची बोली लगाने वाला
highest character,character of highest order,"s. 114, ill. (b), Indian Evidence Act",ऊंचा शील ; अत्यंत ऊंचा
highest civil court of appeal,,"s. 3(25), General Clauses Ac",हैबियस कार्पस
highest class,,,उच् चतम वगर्
highest class of accommodation,,,सबसे ऊंची श्रेणी की जगह
highest court,,,सर्वोच्च न्यायालय
highest court of criminal appeal,,"s. 2(e)(iii), Cr. P.C.",क अपील का सर्वोच्च न्यायालय
highest duty,,"s. 4(2), Indian Stamp Act",अधि कतम शुल्क
"highest grade, court of",,,सबसे ऊंची शे्रणी का न् यायालय
highest monthly production,,"s. 6(2), Coking Coal Mines (Emergency Provisions) Act",अधि कतम AA क उत्पादन
highest price,,"s. 18 FE(5), Industries (Development and Regulation) Act","सबसे ऊंची कीमत highest rank ; (5. 7300), Cr. P.C. and Or. 26, r. 79(2/(०), CP.C] उच्चतम पंक्ति"
highly detrimental,,"s. 15(b), Industries (Development and Regulation) Act",अत्यंत हानि कर
highly improbable,very improbable,"s. 114, ill. (b), Indian Evidence Act",अति अनधि संभाव्य; अत्यंत अनधि संभाव्य
highly probable,very probable,"s. 11(2), Indian Evidence Act",अत्यंत अधि संभाव्य; अति अधि संभाव्य
highly skilled mechanic,,,अति कुशल मैकेनि क
"highly technical nature, evidence of a",,,हैबियस कार्पस
"highly vulnerable to smuggling, area",,"s. 9(1)(i), Conservation of Foreign Exchange and Prevention of Smuggling Activities Act",हैबियस कार्पस
hijacking,to steal something in transit,,हाईजेक करना;
hill allowance,,,पर्वतीय स्थान भत्ता
hill station,,,पवर्तीय स् थान
hinder,to put some obstacle in the path or interpose,,प्रति बंधि त करना; प्रति बंध करना ; प्रति बाधि त करना
hinder loading,,"s. 5, prov., Inland Vessels Act",लदाई प्रति बाधि त करना
Hindi,,"art. 343(1), Const.",हिंदी
Hindi Inspector,,,हिंदी नि रीक्षक
