English Phrase,Meanings,Acts,Hindi Translation
magistrate of the first class,,"s. 73(1), Cr. P.C.",प्रथम वगर् मिज स् टे्रट
magistrate of the second class,,"s. 71, Indian Stamp Act",तीय वर्ग
magistrate of the third class,,,ततृीय वगर् मिज स् टे्रट
"magistrate, presidency",,,मशीन 
"Magistrate, Sub-Divisional",,,उपखण् ड मिज स् टे्रट
"magistrate, superior",,,मशीन 
Magistrates’ Bench,,,मजि स्ट्रेटों की न्‍यायपीठ
magistrates in session,magistrates sitting for the trial and disposal of a case,,सत्रासीन मिज स् टे्रट
magnetic materials,,"fifth sch., item 17, Income-tax Act",चुंबकीय पदार्थ
magnetic observatory,,"s. 37(2)(h), Indian Electricity Act",चुंबकीय वेधशाला
magnitude,,,पैमाना 
"magnitude, considerable",,,बडे ़ पैमाने पर
mahr,,"s. 3(1)(c), Muslim Women (Protection of Rights on Divorce) Act",मेहर
maiden name,,"IIIrd sch., art. 122, Geneva Conventions Act",वि वाहपूर्व नाम
mail agent,,,डाक क् लकर् 
mail bag,,s. 40(a) Customs Act,डाक थैला
mail carrier,,,डाक वाहक
mail clerk,,,डाक क्लर्क 
mail contractor,,,डाक ठेकेदार
mail escort,,,डाक अनुरक्षक
mail guard,,,डाक रक्षक
mail motor organisation staff,,,डाक मोटर सगंठन स् टाफ
mail motor service,,,डाक मोटर सेवा
mail office,,,डाक कायार्लय
mail opener,,,डाक खोलने वाला
mail overseer,,,डाक ओवरसि
mail peon,,,डाक चपरासी
mail ship,,"s. 2(d), Indian Post Office Act",डाक पोत
mailing list,,,डाक सचूी
maim,to mutilate ; to cripple,,वि कलांग करना
main department,,,मुख्य वि भाग
"main, distributing",,"s. 2(c), Indian Electricity Act",मशीन 
main drain,,,मुख्य नाली
M 253 main ministry,,,मुख् य मंत्रालय
main purpose,,,मुख् य प्रयोजन
mains,,,मुख् य प्रणाल
mains inspector,,,मुख्य तार नि रीक्षक
maintain,1. to keep in a state of repairs and do other acts to prevent a dicline from existing state or condition,,अनुरक्षण 
maintain (account),(,,लेखा) रखना
maintain (college),(,,महाविद्यालय) चलाना
maintain (family),(,,कुटंुब का) भरणपोषण करना
maintain (garden),(,,उद्यान का) अनुरक्षण करना maintain Qasuitdooriunagd थि और व्यवस्था) बनाए रखना
maintain (law and order),(,,मशीन 
maintain a suit for damages,,"s. 10(2), Sale of Goods Act",नुकसानी के लि ए वाद करना
maintain an action,,"s. 1A, Fatal Accidents Act",कार्यवाही चलाना 
maintain good behaviour,,"s. 116(3), Cr. P.C.",सदाचारी बना रहना
maintain proper accounts,,"s. 51(1), Dekshina Bharat Hindi Prachar Sabha Act",उचि त लेखे रखना 
maintain suit,,"s. 10(2), Sale of Goods Act",वाद लाना 
maintain supplies and services essential to the life of the community,,"s. 3(1), Defence and Internal Security of India Act",मशीन 
maintainable,capable or fit to be maintained,"Or. 8, r. 2, C.P.C.",पोषणीय 
maintainable rent,,"sch., 3, Wealth Tax Act",संधार्य किराया
maintained,,"s. 20(2), Representation of the People Act, 1950",पोषि त
maintained out of,,"art. 28(1), Const.",८४४६) से पोषि त
maintained wholly or partly out of state funds,,art. 15(2)(b) Const.,पूर्णत
maintaining order,,"art. 122(2), Const.",व् यवस् था बनाए रखना
maintenance,,"s. 7(2)(i), Indian Partnership Act",रखा जाना 
maintenance and treatment,,"s. 35(4), Prevention of Cruelty to Animals Act, 1960",पोषण और उपचार
maintenance and upkeep,,,अनुरक्षण और रखरखाव
"maintenance, contribute to",,"s. 50(1), Children Act",मशीन 
"maintenance, decree for",,"s. 60(1), prov. (i), C.P.C.",मशीन 
maintenance grant,,"s. 2(d), Delhi School Education Act",चलाने के लि ए अनुदान
maintenance of assets,,,आस्ति यों का अनुरक्षण
maintenance of discipline,,"long title, Assam Rifles Act",अनुशासन बनाए रखना 
maintenance of efficiency of administration,,"art. 335, Const.","दा, 335, Const.] प्रशासन की दक्षता बनाए रखना"
maintenance of good order and discipline,,"s. 159(1)(c), Navy Act",व् यवस् था और अनुशासन बनाए रखना
maintenance of law and order,,"s. 16(1), Criminal Law Amendment Act, 1908",वि धि और व्यवस्था बनाए रखना
maintenance of public order,,"art. 33(b), Const.",लोक व् यवस् था बनाए रखना
maintenance of records,,"s. 44(2)(i), Arms Act",अभि लेख रखना
maintenance of reserved forest,,,आरक्षि त वन को बनाए रखना
maintenance of rolling stock,,"s. 49, Indian Railways Act",चलस्टाक का अनुरक्षण
maintenance of wife,,"s. 91(i), Air Force Act",पत् नी का भरणपोषण
maintenance of works,,"ch. 3, Indian Railways Act",संकर्मों का अनुरक्षण
maintenance officer,,,अनुरक्षण अधि
maintenance or working of the route,,"s. 27(4)(g), Indian Railways Act",मार्ग का अनुरक्षण या चालन
maintenance order,,"s. 7(1), Maintenance Orders Enforcement Act",भरणपोषण का आदेश
major,1. one who has attained the age of majority i.e. an age at which he becomes legally capable of conducting his own affairs (generally 18 years),,प्राप् तवय 
major estimates,,,मुख् य अनुमान 
Major General,,,मेजर जनरल
major head totals,,,मुख् य शीषर् जोड़
major items,,"first sch., item 8, heading A, Industries (Development and Regulation) Act",प्रमुख
major port,any port which the Central Government may by notification in the Official Gazette declare or may under any law for the time being in force have declared to be a major port,"s. 3(8), Indian Ports Act",महापत्तन
major works,,,मुख् य सकंमर्
majority,"1. the age at which by law, a person is entitled to the management of his own affairs and to the enjoyment of civil maintain a suit for damages 254 make better provision rights",,प्राप् तवयता 
"majority, absolute",complete majority,,स् पष् ट बहुमत
"majority, concurrence of a",,"s. 77(1)(a), Presidency-towns Insolvency Act",बहुमत
majority judgment,,,बहुमत निर्णय 
majority of all the then members,,"art. 67, prov., Const.",तत्कालीन समस्त सदस्यों का बहुमत
majority of all the then members of the Council of States,,"art. 90(c), Const.",मशीन 
majority of its number,,"s. 26(4), Air Corporations Act",बहुमत
"majority of the jury, concurrence of a",,"s. 15, Coroners Act",मशीन 
majority of votes,,,मतों की बहुसंख्या 5 बहुमत
make a memorandum,,"Or. 18, r. 8, C.P.C.",ज्ञापन बनाना
make a minute,,"s. 445(2), Companies Act",साराशं दजर् करना
make a note,,"s. 132(1)(c)(u), Income-tax Act",नोट करना
make a partition,,,वि भाजन करना
make allowance,,"s. 49, Indian Stamp Act",छूट देना
make and subscribe an oath,,"art. 124(6), Const.",मशीन 
make and subscribe an oath or affirmation,,"art. 60, Const.",शपथ लेना या प्रति ज्ञान करना और उस पर अपने हस्ताक्षर करना
make any grant in advance,,"art. 206(1)(a), Const.",कोई अनुदान अग्रि म देना
make apology,"to make an acknowledgement intended as an atonement for some improper or injurious act, accompanied by an expression of regret","s. 348, Cr. P.C.",माफी मांगना
make award,to give an award in the arbitration proceeding,,पंचाट देना 
make away with,,"s. 7(q), Assam Rifles Act",भगा ले जाना 
make better provision,,"Long title, Wild Birds and Animals Protection Act",अच् छा उपबंध करना
make call on shareholders,,"s. 292(1)(a), Companies Act",अंशधारि यों से आहवान करना
make compensation,,,प्रति कर देना
make composition,to make mutual settlement or agreement,,प्रशमन करना 
make contract,,,संवि दा करना
make defence,,,प्रति रक्षा करना
make donation,,"long title, Companies (Donations to National Funds) Act",दान करना
make due provision,,"s. 3(1)(c), Army and Air Force (Disposal of Private Property) Act",सम् यक् व् यवस् था करना
make gesture in the sight of that person,,"s. 298, I.P.C.",उस व्यक्ति की eve गोचरता में अंगवि ato करना
make good,,"s. 35, T.P. Act",०४ चुका देना 
make good the contract,,,संवि दा की पूर्ति करना
make good the loss,to make up the deficiency,"s. 27, Indian Partnership Act",हानि की प्रति पूर्ति करना 
make no defence,,"Or. 14, r. 1(6), C.P.C.","।4, r. /(6), C.P.C.] Wiad रक्षा नहीं करना"
make order,,,आदेश करना 
make over,to hand over,,हवाले करना 
make over the funds to,,"s. 119, ill. (v), Indian Succession Act",मशीन 
make promotion,,"art. 320(3)(b), Const.",प्रोन्नति करना
make public,to make known to public,,लोक वि दि त करना
make settlement,,"s. 90(1)(a), Registration Act",व् यवस् थापन करना
make sound in the hearing of that person,,"s. 298, I.P.C.",उस व्यक्ति की श्रवणगोचरता में ध्वनि करना
make such provision as he thinks fit,,"art. 160, Const.",ऐसा उपबंध कर सकेगा जो वह ठीक समझता है
make true and faithful discovery,,"s. 11, Public Gambling Act",सच्चाई और ईमानदारी से प्रकटीकरण करना
make up deficiency of court fees,,"s. 149, C.P.C.",न्यायालय फीसों की कमी को पूरा करना
make-up man,,,मशीन 
make up the cash,,"s. 139, ill. (c), Indian Contract Act",का मि ल्लान करना
maker,the creator; executant,"s. 15, Negotiable Instruments Act",रचि यता 
making a represntation,,"art. 22(5), Const.",अभ् यावेदन करना
making foot-paths across the grass plots,,"sch., item 25, Fort Williams Act",घास वाले भू-खण्डों पर पगडंडि यां बनाना
"making gifts or souvenirs, for",,,मशीन 
making good the sum,,"s. 295(5), Companies Act",धनराशि पूरी तरह से दे देना 
making legal application for protection,,"s. 190, I.P.C.",मशीन 
making loan,,"s. 45(c), Wealth-tax Act",उधार देना
making of the work is extended over a considerable period,,"s. 7, Copyright Act",मशीन 
mala fide,in bad faith,,असद्भावपूवर्क
Malaria Inspector,,,मलेरि या नि
Malaria Institute of India,,,भारत का मलेरि या संस्थान
male,of the sex that begets offspring,"s. 10, I.P.C.",नर 
male ascendant in the male line,,"s. 7(2)(b), Estate Duty Act",पुरुष परंपरा में पूर्व पुरुष
male-factors,"evil doers, criminals",,अपक्रमी
male heir,,,मशीन 
make call on shareholders 255 mamlatdar of a taluka male Hindu,,"s. 7, Hindu Adoptions and Maintenance Act",मशीन 
male human being,,"s. 10, I.P.C.",मानव नर
male member,,"s. 64, Cr. P.C.",पुरुष सदस् य
male nurse,,,पुरुष नसर्
"male sex, student of the",,"s. 5(i)(ii), National Cadet Corps Act",छात्र
malfeasance,,,अपकरण 
malice,it signifies an intentional doing of a wrongful act without just cause or excuse or an action determined by an improper motive,"Or. 6, r. 10, C.P.C.",वि द्वेष 
malicious,given to malice; characterised by malice,"s. 295A, I.P.C.",वि दवेषपूर्ण 
malicious abuse of process,"wilfully misapplying court process to obtain object not intended by law. The wilful misuse or misapplication of process to accomplish a purpose not warranted or commanded by the writ. An action for malicious abuse of process lies in the following cases. A malicious petition or proceeding to adjudicate a person an insolvent to declare a person lunatic or to wind up a company, to make action against legal practioner under the Lagal Practitioners Act, maliciously procuring arrest or attachment in execution of a decree or before judgment, order or injunction or appointment of receiver, arrest of a ship, search of the plaintiff’s premises, arrest of a person by police",,प्रक्रि या का दोषपूर्ण दुरुपयोग
malicious criminal prosecution,"in an action for a malicious criminal prosecution the plaintiff must prove the following points; (a) that the plaintiff was prosecuted by the defendant; (b) that the prosecution ended in plaintiff’s favour; (c) that the defendant acted without reasonable and probable cause, (d) that the defendant was actuated by malice. It is then for the defendant to make out a defence recognised by law",,द्वेषपूर्ण दांडिक अभियोजन
malicious institution of a suit,it has also been held that a malicious institution of civil suit is not actionable. The reasons for this rule were expounded in Quartz Hill Gold Mining Co. Vs. Byre,,द्वेषपूर्ण वाद संस्थि त करना
malicious intention,,"s. 295A, I.P.C.",वि. द्वेषपूर्ण आशय
malicious prosecution,,"sch., item 74, Limitation Act","वि द्वेषपूर्ण अभि योजन [second sch., item 35 (2), Presidency Small Cause Courts Act] द्वेषपूर्ण अभि योजन"
malicious prosecution and maintenance,the wrong known as malicious prosecution and maintenance consists in causing damage by means of an abuse of the process of court of law,,दोषपूर्ण अभि योजन और वाद पोषण
maliciously,in a malicious manner; out of malice,"s. 3, Explosive Substances Act",८0 दुर्भाव से 
maliciously wrecking,,"s. 126, Indian Railways Act",वि द्वेषत
malignantly,feeling or showing intense ill will,"s. 270, I.P.C.",परि दवेषपूर्ण 
malinger,to pretend illness or to produce or protract disease in order to escape duty (especially of soldiers and sailors),"s. 46(b), Army Act",कर्तव्य से बचने के लि ए रोगी बन जाना 
malleable iron,,"fifth sch., item 11, Income-tax Act",आधातवधर्नीय लोहे का माल 
malpractice,,,अनाचार
maltreat,,"s. 64(a), army Act",बुरा बतार्व करना
mamlatdar of a taluka,,"s.94A(3) (vii), expln., Income-tax Act",तालुक का मामलातदार
mammals,,"ch. 3, notes 1(a), C.E.T. Act",स् तनपायी
man,1. an adult male human being,"s. 10, I.P.C.",पुरुष 
man-days,,,श्रमि क दि
man hours,,,श्रम घंटे
man of ordinary prudence,a person having usual kind of sound judgment in practical affairs,"ss. 151 and 195, Indian Contract Act",मामूली प्रज्ञावाल्रा मनुष्य/व्यक्ति गाक्षा
man-power,,,मशीन 
"man, sane",,"s. 12, ill. (b), Indian Contract Act",मशीन 
manage himself,,"s. 46, Indian Lunacy Act",अपनी देखभाल करना
managed company,,"s. 356(1), Companies Act",कंपनी जि सका प्रबंध कि या जा रहा है
management,1. the action of managing,"s. 144(1), Cr. P.C.",प्रबंध 
management advisor,,"s. 28(1)(b)(2), Foreign Exchange Regulation Act",प्रबंध सलाहकार
"management, affairs of",,,मशीन 
management board,,,प्रबंध मडंल
management expenses,,"sch. I, item 2(2) and 7(1)(iii), Income- tax Act",प्रबंध व् यय
management of local fund,,"s. 3(31), General Clauses Act",स्थानीय नि धि का प्रबंध
management of the affairs,,"s. 9(1), Chartered Accountants Act",कायर्कलाप का प्रबंध
management of undertakings,,"art. 43A, Const.","वा, 434, Const.] उपक्रमों का प्रबंध"
management of work,,,काम का प्रबंध
manager,1. one who manages,"art. 31A(1)(d), Const.",प्रबंधक (मैनेजर) 
manager-cum-clerk (catering),,,प्रबंधक सह-लि पि क (खानपान
"Manager, Divisional Traffic",,,प्रभागीय यातायात प्रबंधक
"manager, farm",,,फामर् मैनेजर
"manager, general",,,प्रधान प्रबंधक
"manager, mail motor service",,,"""प्रबंधक, डाक मोटर व् यवस् था"""
manager of land,,,भूमि का प्रबंधक
manager of publications,,,प्रकाशन प्रबंधक
mammals 256 manager of the Hindu family,,"s. 41(3), Wealth-tax Act",मशीन 
manager of works,,,निर्माण कार्य प्रबंधक 
managerial or administrative capacity,,"s. 2(1)(i)(A), Contract Labour (Regulation and Abolition) Act",प्रबंधकीय या प्रशासकीय हैसि यत
managerial person,,,प्रबंधकार व्यक्ति
managerial personnel,,"s. 4(1)(b), Jayanti Shipping Company (Taking Over of Management) Act",प्रबंधकार व्यक्ति 
managerial remuneration,,"sch. 6, pt. II, item 4(i), Companies Act",पारि श्रमि क
managing agency,,"s. 28, expln. I, Income-tax Act",प्रबंध अभि करण
managing agent,,"s. 2(1)(ii), Mines Act and art. 31A(1)(d), Const.",प्रबंध अभि कर्ता 
managing committee,,"s. 2(n), Delhi School Education Act",प्रबंध समि ति
managing contractor,,"s. 7(1), Coal Mines (Nationalisation) Act",८0 प्रबंधकारी ठेकेदार
managing director,,"s. 7(1)(c), Food Corporations Act and art. 31A(1)(d), Const.","७), Const] प्रबंध नि देशक"
managing editor,,,प्रबंध संपादक
mandamus,a prerogative order issued in certain cases to compel the performances of duty of a public or quasi,-public nature,परमादेश
mandate,"a command from a superior official or judge to an inferior, ordering him how to act",,आदेश 
mandated territories,the territories governed under the mandate of the League of Nations earlier and now administered under the Trusteeship Council of the United Nations,"sch. 1, r. 36, Indian Carriage by Air Act",आदेशाधीन राज्यक्षेत्र
mandatory injunction,an injunction ordering a person to do a thing,"s. 39, Specific Relief Act",आज्ञापक व्यादेश
mandatory rule,a rule containing a command,"s. 13(1)(c), prov., Income-tax Act",आज्ञापक नि यम
mandatory term,a term which is imperative,"s. 13(1)(c), prov., Income-tax Act",आज़ापक नि बंधन
manganese ore,,"fifth sch., item 3, Income-tax Act",मैंगनीज अयस्क
manhole,,"s. 36(6), Factories Act",मेन-होल
manifest,1. a list of goods of a merchant vessel making up her cargo with the names of shippers,"s. 2(b), Naval and Aircraft Prize Act",माल सूची 
manifest of goods,,"sch., pt. II, item 10, Commercial Documents Evidence Act","॥0, Commercial Documents Evidence Act] माल की सूची "
manifest violation,,,प्रकट अति क्रमण
manifesto,"a public written declaration of the intentions, opinions or motives of a leader, party or body",,घोषणापत्र 
manipulate,1. to work with the hands; to handle or manage,,अभि चालन करना 
manipulate prices,,,कीमतों के बारे A चक्र चाल करना 
manipulation of prices or conditions of delivery,,,कीमतों में (ऐसी घट-बढ़ करना या परि दान की (ऐसी) परि HA fa पैदा करना
manipulator,,,छल साधक
mankind,human species,"s. 18, T.P. Act",मानव जाति
"mankind, ordinary expectation of",,"s. 5, Negotiable Instruments Act",मशीन 
manner,"a way, mode, method of doing anything or mode of proceeding in any case or situation","s. 3, prov.(1), T.P. Act",रीति 
"manner of cooperation, collaboration or association",,,मशीन 
manner of election of President,,"art. 55, margin, Const.","दा, 55, margin, Const.] राष्ट्रपति के निर्वाचन की रीति"
manner of termination of service,,"s. 24(f), University of Hyderabad Act",सेवा समाप्ति की रीति
manner prescribed,,"s. 3, prov. (1), T.P. Act",त रीति
manning-cum-incentive scheme,,,काम में लगाने और प्रोत्साहन की स्कीम
manoeuvres (for defence),,"s. 68A, Indian Posts Act",चलना
manpower,"powers available from or supplied by the physical effort of man, strength expressed in items of available persons",,जनशकति 
manpower directorate,,,जनशकति नि देशालय
manpower officer,,,जनशकति अधि
mansion,large house,"Or. 21, r. 32, ill., C.P.C.",हवेली
mansuetae naturae,"tamed and domesticated animals. A distinction has been made between two species of animals, tame animals or animals mansuetae naturae as they are called e.g. a dog or horse and ferocious animals",,पालतू पश ु
manual,1. requiring or involving physical skill or energy,"s. 2(c), expln., Industrial Finance Corporation Act",शारीरि के 
manual delivery,,"s. 58(1), Presidency-towns Insolvency Act",हाथ से देना
manual instructor,,,हस् तकला अनुदेशक
manual labour,,,शारीरि क श्रम
manual skill,,"s. 17(2)(f), Prevention of Cruelty to Animals Act, 1960",हस् तकौशल
manual training instructor,,,शारीरि क प्रशि क्षण PY क्षक
manufactory,a place where manufacturing process goes on,"s. 3(4)(c), Indian Railways Act",विनिर्माणशाला
manoeuvres (for defence) 257 manufacture,1. producing by labour,"s. 2(13), Income-tax Act",मशीन 
manufactured drug,,,विनिर्मित मादकद्रव्य 
manufacturer,the owner or operator of a manufactory ; the producer of goods by labour,"s. 3(i), Tea Act",विनिर्माता
manufacturing accounts,,,विनिर्माण लेखे
manufacturing concern,,"sch. 6, pt. II, item 3(ii)(a), Companies Act",विनिर्माता समुत्थान
manufacturing operation,,"s. 80P(2)(i), Income-tax Act",विनिर्माण संक्रिया
manufacturing process,,"s. 2(2), Sugarcane Act and s. 2(k), Factories Act",विनिर्माण प्रक्रिया
manufacturing purpose,the purpose of manufacture,"s. 106, T.P. Act",विनिर्माण प्रयोजन
manufacturing station,,"s. 10(2)(d), Tea Act",विनिर्माण केंद्र
manure inspector,,,खाद नि रीक्षक
manuring,,"s. 8(2)(b), Rubber Act",खाद देना 
manuscript,a written or typewritten document as distinguished from a printed copy,"s. 2(b)(i), Ancient Monuments and Archaeological Sites and Remains Act",हस्तलेख 
manuscript officer,,,पांडुलि पि अधि कारी
map,"a representation of the earth’s surface or a part of it, its physical and political features etc. or of the heavens, delineated on a flat surface of paper etc. according to a definite scale or projection","s. 36, Indian Evidence Act",मानचि त्र
map mounter,,,नक् शा मढ़ाईकार
mapper,,,नक् शाकार
mapping,,"s. 3(2), Information Technology Act",प्रतिचित्रण
march final account,,,मार्च अंति म लेखा
march final schedule,,,मार्च अंति म अनुसूची
march preliminary account,,,मार्च प्रारंभि क लेखा
march supplementary adjustment,,,माचर् अनुपूरक समायोजन
march supplementary schedule,,,माचर् अनुपूरक अनुसूची
margin,1. a vertical blank column to the left or right of an area occupied or to be occupied by the main body of the printed or written text,,मािजर्न 
margin of deviation,,"s. 48(3)(iv), Motor Vehicles Act",अंतर की (उतनी) मात्रा
marginal adjustment,,,क समायोजन
marginal case,,,सीमांत मामला
marginal entry,,,पाश्व प्रवि
marginal note,,,प्पण
marginal rate,,"s. 167B(i), Income-tax Act",मािजर्न दर
marginal relief,,,सीमांत राहत
marine,,"s. 2(a), expln., Agricultural Refinance Corporation Act",सामुद्रि क
marine engine,an engine for propelling a ship,,समुद्री इंजन
marine engineer,,,इंजीनि
Marine Inspection Officer,,,समुद्री नि रीक्षण अधि कारी
marine insurance,"insurance against loss by damage or destruction of cargo, freight or merchandise or the means or instruments of transportation or communication whether on land, sea or air","sch., pt. 1, item 9, Commercial Documents Evidence Act",समुद्री बीमा
marine insurance fund,,,समुद्री बीमानि थि
marine league,,"s. 4(2), Indian Fisheries Act",समुद्री लीग
marine product,,"s. 3(h), Marine Products Export Development Authority Act",सामुद्रि क उत्पाद
marine superintendent,,,अधीक्षक
marine survey report,,,समुद्री सर्वेक्षण रि पोर्ट
marine workshop foreman,,,नौ कमर्शाला फोरमैन
mariner,,"s. 56(2)(e), Navy Act",जहाजी
marital intercourse,intercourse between persons married to each other,"s. 12(2)(b)(iii), Hindu Marriage Act",क संभोग
marital obligation,,"s. 2(iv), Dissolution of Muslim Marriages Act",क कर्तव्य
marital relationship,,"s. 7, Family Courts Act",वैवाहिक संबंध
maritime affairs,,"ss. 32(2) and 37(2), Inland Vessels Act",समुद्रीय कामकाज
maritime jurisdiction,"jurisdiction relating to sea, or commerce and navigation of the sea","s. 57(6), Indian Evidence Act",समुद्रीय अधि कारि ता
maritime law,,"preamble, Indian Carriage of Goods by Sea Act",समुद्री-वि
maritime shipping,,,समुद्रीय पोत परि वहन
maritime zone of India,,"Maritime Zones of In India (Regulation of Fishing by Foreign Vassels) Act, long title, Offshore Areas Mineral (Development and Regulation) Act",भारत का सामुद्रिक क्षेत्र
maritime zones,,"art. 297(3), Const.",सामुद्रि क क्षेत्र
mark,1. sign; indication; character,,हन 3 2. to make a mark on
mark of consideration,,"Or. 5, r. 30(1), C.P.C.",सम् मानपूणर् बतार्व
mark of honour,,,सम् मान प्रतीक
mark of injury,,"s. 174(1), Cr. P.C.",क्षति का fa हन 
mark sheet,,,अंक सूची
mark with a grade designation mark,,"s. 3(d), Agricultural Produce (Grading and Marking) Act",श्रेणी अभि यान fa हन सेचि हनांकि त करना
marked deterioration,,"s. 15(a)(ii), Industries (Development and Regulation) Act",स् पष् ट ह्रास
"marked or branded with the name, shall be",,"s. 3, Coasting Vessels Act",मशीन 
marker,,,माकर् र
"marked or branded with the name, shall be 258 market","an open space or covered building in which cattle, provision etc. are exposed for sale","s. 32, ill. (j), Indian Evidence Act",बाजार 
market overt-open market,"ordinarily a mere bargain and sale without transfer of prossession is not a conversion. This is so because the transaction affects neither the possession nor the title, as ex","-hypothesis, the transferor had not the title. But in England, a sale in Market overt operates to transfer the title to a bonafide purchaser. It means an open sale in any lawfully constituted market and by a special custom a sale in any shop in the city of London between sunrise and sunset, of goods of the kind which are usually put up for sale therein",खुला बाजार
market price,the price usually given in current market dealings,"s. 73, ill. (o), Indian Contract Act",बाजार कीमत 
market rate,,"s. 11(2)(e), Forward Contracts (Regulation) Act",बाजार भाव
market reporter,,,बाजार रि पोर्टर
market superintendent,,,बाजार अधीक्षक
"market survey, conducting",,,मशीन 
market value,a price at which both buyers and sellers are willing to do business; the market or current price,"s. 7(iii), Court-fees Act",मूल्य 
marketable security,a security of such description as to be capable of being sold in any stock market of the country,"s. 2(16A), Indian Stamp Act",वि Wa प्रति भूति 
marketing,the action of selling or buying in market,"s. 7(4), prov., Cardamom Act and s. 80P(2)(viii), Income-tax Act",वि पणन
marketing of commodities,,"s. 10(29), Income-tax Act",वस्तुओं कावि पणन
Marketing Officer,,,पणन अधि कारी
"Marketing Officer, Fish",,,मशीन 
marketing societies,,,वि पणन सोसाइटि यां
marketing strategy,,"s. 8(2)(c), Tabacco Board Act",वि. पणन
marking and sorting,,,हन लगाना और छांटना
marking hammer,,"s. 41(2)(h), Indian Forest Act",हन लगाने वाला हथौड़ा
marking of weight on heavy packages,,"long title, Marking of Heavy Packages Act",भारी पैकेजों पर भार चि हनांकि त करना
marks (in a paper),,,अंक
marks of identification,,"s. 20(3)(ii), Additional Emoluments (Compulsory Deposit) Act",पहचान के चि हन 
marks of respect to be paid,,"s. 184(k), Navy Act",किए जाने वाले सम्मान का स्वरूप
marks or arrangement or combination thereof,,"s. 2(1)(f)(iv), Trade and Merchandise Marks Act",हन या उनका वि. न्यास या संयोजन
marriage,"the act of marrying, the ceremony by which two persons are made husband and wife; particular matrimonial unions","s. 112, Indian Evidence Act and s. 2(a), Indian Majority Act",वि. वाह
"marriage, approbation of",,"s. 128, ill. (vi), Indian Succession Act",मशीन 
marriage ceremony,,"s. 496, I.P.C.",वि. वाह कर्म
marriage certificate book,,"s. 14(1), Foreign Marriage Act",वि वाह प्रमाणपत्र पुस्तक
marriage petition,,,विवाह अर्जी
marriage procession,,"s. 52(za), expln., Copyright Act",बारात
marriage tie,,"long title, Dissolution of Muslim Marriages Act",वि वाह बंधन
married administratrix,,"Or. 31, r. 3, C.P.C.",वि वाहि ता प्रशासि का
married executrix,,"Or. 31, r. 3, C.P.C.",वि वाहि ता नि ष्पादि का
married woman,,,वि are तस्त्री
marry,to constitute as husband and wife according to the laws and customs of a nation,"s. 65, ill. (a), Indian Contract Act",वि वाह करना
marsh land,,"s. 78, ill. (i), Indian Succession Act",कच्छ भूमि 3 दलदल भूमि
marshal of the court,,"s. 8(1), Naval and Aircraft Prize Act",न् यायालय का माशर्ल
marshalling,arranging (assets or securities) in the order in which they are available to meet various kinds of claims,s. 81. T. P. Act,क्रमबंधन
martial law,,"art. 34, Const.",सेना वि
marumakkattayam,,"s. 7(1), Estate Duty Act",मुरुमक्कत्तायम्
masculine gender,,"s. 13(1), General Clauses Act",पुल्लिंग
mason,,,राज
masonary,,"s. 2(c), Manipur (Hills Areas) District Councils Act",नाई
masonary work,,"sch., item (21), Fort William Act",नाई कार्य
mass mailing unit,,,सामूहि क डाक प्रेषण केंद्र
